,objectid,id,datetime,cloruro,SHAPE
0,3,chapo_cap1,2021-10-29 02:34:06,64.91,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
1,7,chapo_cap1,2021-10-29 02:35:06,66.62,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
2,11,chapo_cap1,2021-10-29 02:36:06,67.41,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
3,15,chapo_cap1,2021-10-29 02:37:06,67.68,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
4,19,chapo_cap1,2021-10-29 02:38:06,67.88,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
5,23,chapo_cap1,2021-10-29 02:39:06,67.95,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
6,26,chapo_cap1,2021-10-29 02:40:06,67.95,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
7,30,chapo_cap1,2021-10-29 02:41:06,67.79,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
8,34,chapo_cap1,2021-10-29 02:42:06,66.78,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
9,38,chapo_cap1,2021-10-29 02:43:06,65.96,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
10,42,chapo_cap1,2021-10-29 02:44:06,65.95,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
11,46,chapo_cap1,2021-10-29 02:45:06,65.93,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
12,50,chapo_cap1,2021-10-29 02:46:06,65.68,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
13,54,chapo_cap1,2021-10-29 02:47:06,65.54,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
14,58,chapo_cap1,2021-10-29 02:48:06,14.8,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
15,62,chapo_cap1,2021-10-29 02:49:06,67.11,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
16,66,chapo_cap1,2021-10-29 02:50:06,68.16,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
17,70,chapo_cap1,2021-10-29 02:51:06,68.51,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
18,74,chapo_cap1,2021-10-29 02:52:06,68.94,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
19,78,chapo_cap1,2021-10-29 02:53:06,69.32,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
20,82,chapo_cap1,2021-10-29 02:54:06,69.91,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
21,86,chapo_cap1,2021-10-29 02:55:06,70.37,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
22,90,chapo_cap1,2021-10-29 02:56:06,70.58,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
23,94,chapo_cap1,2021-10-29 02:57:06,70.85,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
24,98,chapo_cap1,2021-10-29 02:58:06,71.01,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
25,102,chapo_cap1,2021-10-29 02:59:06,71.13,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
26,106,chapo_cap1,2021-10-29 03:00:06,70.86,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
27,110,chapo_cap1,2021-10-29 03:01:06,71.84,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
28,114,chapo_cap1,2021-10-29 03:02:06,73.18,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
29,118,chapo_cap1,2021-10-29 03:03:06,66.57,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
30,122,chapo_cap1,2021-10-29 03:04:06,68.41,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
31,126,chapo_cap1,2021-10-29 03:05:06,69.15,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
32,130,chapo_cap1,2021-10-29 03:06:06,68.77,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
33,134,chapo_cap1,2021-10-29 03:07:06,68.82,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
34,138,chapo_cap1,2021-10-29 03:08:06,68.65,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
35,142,chapo_cap1,2021-10-29 03:09:06,67.84,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
36,146,chapo_cap1,2021-10-29 03:00:00,67.69,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
37,150,chapo_cap1,2021-10-29 03:00:00,67.58,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
38,154,chapo_cap1,2021-10-29 03:12:06,67.28,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
39,158,chapo_cap1,2021-10-29 03:13:06,66.89,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
40,162,chapo_cap1,2021-10-29 03:14:06,66.93,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
41,166,chapo_cap1,2021-10-29 03:15:06,66.75,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
42,170,chapo_cap1,2021-10-29 03:16:06,66.76,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
43,174,chapo_cap1,2021-10-29 03:17:06,66.77,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
44,178,chapo_cap1,2021-10-29 03:18:06,61.9,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
45,182,chapo_cap1,2021-10-29 03:19:06,63.97,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
46,186,chapo_cap1,2021-10-29 03:20:06,65.29,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
47,190,chapo_cap1,2021-10-29 03:21:06,66.33,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
48,194,chapo_cap1,2021-10-29 03:22:06,66.67,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
49,198,chapo_cap1,2021-10-29 03:23:06,66.65,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
50,202,chapo_cap1,2021-10-29 03:24:06,66.51,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
51,206,chapo_cap1,2021-10-29 03:25:06,66.22,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
52,210,chapo_cap1,2021-10-29 03:26:06,65.66,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
53,214,chapo_cap1,2021-10-29 03:27:06,65.42,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
54,218,chapo_cap1,2021-10-29 03:28:06,65.17,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
55,222,chapo_cap1,2021-10-29 03:29:06,65.01,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
56,226,chapo_cap1,2021-10-29 03:30:06,64.93,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
57,230,chapo_cap1,2021-10-29 03:31:06,65.11,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
58,234,chapo_cap1,2021-10-29 03:32:06,64.82,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
59,238,chapo_cap1,2021-10-29 03:33:06,14.75,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
60,242,chapo_cap1,2021-10-29 03:34:06,65.32,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
61,246,chapo_cap1,2021-10-29 03:35:06,65.87,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
62,250,chapo_cap1,2021-10-29 03:36:06,65.93,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
63,254,chapo_cap1,2021-10-29 03:37:06,65.95,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
64,258,chapo_cap1,2021-10-29 03:38:06,65.71,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
65,262,chapo_cap1,2021-10-29 03:39:06,65.57,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
66,266,chapo_cap1,2021-10-29 03:40:06,65.44,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
67,269,chapo_cap1,2021-10-29 03:41:06,65.34,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
68,273,chapo_cap1,2021-10-29 03:42:06,65.67,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
69,277,chapo_cap1,2021-10-29 03:43:06,65.69,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
70,281,chapo_cap1,2021-10-29 03:44:06,66.05,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
71,285,chapo_cap1,2021-10-29 03:45:06,65.94,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
72,289,chapo_cap1,2021-10-29 03:46:06,65.68,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
73,293,chapo_cap1,2021-10-29 03:47:06,65.16,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
74,297,chapo_cap1,2021-10-29 03:48:06,63.97,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
75,301,chapo_cap1,2021-10-29 03:49:06,66.91,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
76,305,chapo_cap1,2021-10-29 03:50:06,68.21,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
77,311,chapo_cap1,2021-10-29 03:51:06,69.26,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
78,315,chapo_cap1,2021-10-29 03:52:06,70.15,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
79,319,chapo_cap1,2021-10-29 03:53:06,70.69,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
80,323,chapo_cap1,2021-10-29 03:54:06,72.66,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
81,327,chapo_cap1,2021-10-29 03:55:06,73.1,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
82,331,chapo_cap1,2021-10-29 03:56:06,73.43,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
83,335,chapo_cap1,2021-10-29 03:57:06,73.68,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
84,339,chapo_cap1,2021-10-29 03:58:06,73.99,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
85,343,chapo_cap1,2021-10-29 03:59:06,74.17,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
86,347,chapo_cap1,2021-10-29 04:00:06,74.44,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
87,351,chapo_cap1,2021-10-29 04:01:06,74.5,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
88,355,chapo_cap1,2021-10-29 04:02:06,74.67,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
89,359,chapo_cap1,2021-10-29 04:03:06,67.09,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
90,363,chapo_cap1,2021-10-29 04:04:06,68.88,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
91,367,chapo_cap1,2021-10-29 04:05:06,69.76,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
92,371,chapo_cap1,2021-10-29 04:06:06,69.53,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
93,375,chapo_cap1,2021-10-29 04:07:06,69.36,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
94,379,chapo_cap1,2021-10-29 04:08:06,69.37,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
95,383,chapo_cap1,2021-10-29 04:09:06,69.19,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
96,387,chapo_cap1,2021-10-29 04:00:00,69.07,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
97,391,chapo_cap1,2021-10-29 04:00:00,68.85,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
98,395,chapo_cap1,2021-10-29 04:12:06,68.42,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
99,399,chapo_cap1,2021-10-29 04:13:06,67.15,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
100,403,chapo_cap1,2021-10-29 04:14:06,67.12,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
101,407,chapo_cap1,2021-10-29 04:15:06,67.2,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
102,411,chapo_cap1,2021-10-29 04:16:06,67.02,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
103,415,chapo_cap1,2021-10-29 04:17:06,66.65,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
104,419,chapo_cap1,2021-10-29 04:18:06,66.68,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
105,423,chapo_cap1,2021-10-29 04:19:06,63.74,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
106,427,chapo_cap1,2021-10-29 04:20:06,68.16,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
107,431,chapo_cap1,2021-10-29 04:21:06,69.14,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
108,435,chapo_cap1,2021-10-29 04:22:06,70.06,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
109,439,chapo_cap1,2021-10-29 04:23:06,70.63,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
110,443,chapo_cap1,2021-10-29 04:24:06,71.07,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
111,447,chapo_cap1,2021-10-29 04:25:06,71.51,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
112,450,chapo_cap1,2021-10-29 04:26:06,71.98,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
113,454,chapo_cap1,2021-10-29 04:27:06,72.67,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
114,458,chapo_cap1,2021-10-29 04:28:06,73.36,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
115,462,chapo_cap1,2021-10-29 04:29:06,73.79,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
116,466,chapo_cap1,2021-10-29 04:30:06,74.25,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
117,470,chapo_cap1,2021-10-29 04:31:06,74.36,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
118,474,chapo_cap1,2021-10-29 04:32:06,74.76,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
119,478,chapo_cap1,2021-10-29 04:33:06,69.09,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
120,482,chapo_cap1,2021-10-29 04:34:06,71.55,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
121,486,chapo_cap1,2021-10-29 04:35:06,72.47,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
122,490,chapo_cap1,2021-10-29 04:36:06,72.79,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
123,494,chapo_cap1,2021-10-29 04:37:06,73.12,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
124,498,chapo_cap1,2021-10-29 04:38:06,72.93,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
125,502,chapo_cap1,2021-10-29 04:39:06,72.28,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
126,506,chapo_cap1,2021-10-29 04:40:06,72.19,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
127,510,chapo_cap1,2021-10-29 04:41:06,72.07,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
128,513,chapo_cap1,2021-10-29 04:42:06,72.13,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
129,517,chapo_cap1,2021-10-29 04:43:06,72.1,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
130,521,chapo_cap1,2021-10-29 04:44:06,71.9,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
131,525,chapo_cap1,2021-10-29 04:45:06,71.47,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
132,529,chapo_cap1,2021-10-29 04:46:06,70.99,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
133,533,chapo_cap1,2021-10-29 04:47:06,70.53,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
134,537,chapo_cap1,2021-10-29 04:48:06,62.92,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
135,541,chapo_cap1,2021-10-29 04:49:06,67.38,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
136,545,chapo_cap1,2021-10-29 04:50:06,69.08,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
137,549,chapo_cap1,2021-10-29 04:51:06,70.06,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
138,552,chapo_cap1,2021-10-29 04:52:06,71.59,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
139,556,chapo_cap1,2021-10-29 04:53:06,71.87,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
140,560,chapo_cap1,2021-10-29 04:54:06,72.11,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
141,564,chapo_cap1,2021-10-29 04:55:06,72.22,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
142,568,chapo_cap1,2021-10-29 04:56:06,72.36,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
143,572,chapo_cap1,2021-10-29 04:57:06,72.77,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
144,576,chapo_cap1,2021-10-29 04:58:06,72.67,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
145,580,chapo_cap1,2021-10-29 04:59:06,71.8,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
146,584,chapo_cap1,2021-10-29 05:00:06,71.95,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
